character,我,你,吃,喝,好,不,冷,热,左,右
我,0,0.64583119833942693,0.78573136639776797,0.5277749311192359,0.71747103439119331,0.55827389570061392,0.58353663496371722,0.53598816754740675,0.25531407659429073,0.41565129020922253
你,0.64583119833942693,0,0.61107776586870144,0.71428571428571441,0.65811827062108619,0.59910813713136357,0.49604736932103044,0.71925503746256148,0.59949906054259294,0.79796949108955784
吃,0.78573136639776797,0.61107776586870144,0,0.54625739351348501,0.63803861700348663,0.51492874992733406,0.65700282971498236,0.55414917129106267,0.61383577713938353,0.81666030059435779
喝,0.5277749311192359,0.71428571428571441,0.54625739351348501,0,0.54415769416144832,0.59910813713136357,0.6220355269907728,0.29813759365640369,0.54943644311041706,0.59593898217911567
好,0.71747103439119331,0.65811827062108619,0.63803861700348663,0.54415769416144832,0,0.78679928364438956,0.59798487389631516,0.66406449342648743,0.72044692765919494,0.51650622158477177
不,0.55827389570061392,0.59910813713136357,0.51492874992733406,0.59910813713136357,0.78679928364438956,0,0.76429773960448422,0.47477426856110982,0.53170709420915307,0.52754440873846598
冷,0.58353663496371722,0.49604736932103044,0.65700282971498236,0.6220355269907728,0.59798487389631516,0.76429773960448422,0,0.56671087758687899,0.55848921431165199,0.7327387580875756
热,0.53598816754740675,0.71925503746256148,0.55414917129106267,0.29813759365640369,0.66406449342648743,0.47477426856110982,0.56671087758687899,0,0.5572729288510464,0.50370833301453477
左,0.25531407659429073,0.59949906054259294,0.61383577713938353,0.54943644311041706,0.72044692765919494,0.53170709420915307,0.55848921431165199,0.5572729288510464,0,0.57520460475712676
右,0.41565129020922253,0.79796949108955784,0.81666030059435779,0.59593898217911567,0.51650622158477177,0.52754440873846598,0.7327387580875756,0.50370833301453477,0.57520460475712676,0
