column_index,slot,feature
0,onset,manner_1_stop_closure
1,onset,manner_2_affricate_closure
2,onset,manner_3_frication
3,onset,manner_4_nasal
4,onset,manner_5_liquid_approximant
5,onset,manner_6_glide
6,onset,manner_7_vowel
7,onset,manner_8_syllabic
8,onset,place_1_labial
9,onset,place_2_dental_alveolar
10,onset,place_3_retroflex
11,onset,place_4_palatal
12,onset,place_5_velar
13,onset,place_6_glottal_laryngeal
14,onset,vowel_1_front
15,onset,vowel_2_central
16,onset,vowel_3_back
17,onset,vowel_4_high
18,onset,vowel_5_mid
19,onset,vowel_6_low
20,onset,vowel_7_rounded
21,onset,vowel_8_retroflex_coloring
22,glide,manner_1_stop_closure
23,glide,manner_2_affricate_closure
24,glide,manner_3_frication
25,glide,manner_4_nasal
26,glide,manner_5_liquid_approximant
27,glide,manner_6_glide
28,glide,manner_7_vowel
29,glide,manner_8_syllabic
30,glide,place_1_labial
31,glide,place_2_dental_alveolar
32,glide,place_3_retroflex
33,glide,place_4_palatal
34,glide,place_5_velar
35,glide,place_6_glottal_laryngeal
36,glide,vowel_1_front
37,glide,vowel_2_central
38,glide,vowel_3_back
39,glide,vowel_4_high
40,glide,vowel_5_mid
41,glide,vowel_6_low
42,glide,vowel_7_rounded
43,glide,vowel_8_retroflex_coloring
44,nucleus,manner_1_stop_closure
45,nucleus,manner_2_affricate_closure
46,nucleus,manner_3_frication
47,nucleus,manner_4_nasal
48,nucleus,manner_5_liquid_approximant
49,nucleus,manner_6_glide
50,nucleus,manner_7_vowel
51,nucleus,manner_8_syllabic
52,nucleus,place_1_labial
53,nucleus,place_2_dental_alveolar
54,nucleus,place_3_retroflex
55,nucleus,place_4_palatal
56,nucleus,place_5_velar
57,nucleus,place_6_glottal_laryngeal
58,nucleus,vowel_1_front
59,nucleus,vowel_2_central
60,nucleus,vowel_3_back
61,nucleus,vowel_4_high
62,nucleus,vowel_5_mid
63,nucleus,vowel_6_low
64,nucleus,vowel_7_rounded
65,nucleus,vowel_8_retroflex_coloring
66,coda,manner_1_stop_closure
67,coda,manner_2_affricate_closure
68,coda,manner_3_frication
69,coda,manner_4_nasal
70,coda,manner_5_liquid_approximant
71,coda,manner_6_glide
72,coda,manner_7_vowel
73,coda,manner_8_syllabic
74,coda,place_1_labial
75,coda,place_2_dental_alveolar
76,coda,place_3_retroflex
77,coda,place_4_palatal
78,coda,place_5_velar
79,coda,place_6_glottal_laryngeal
80,coda,vowel_1_front
81,coda,vowel_2_central
82,coda,vowel_3_back
83,coda,vowel_4_high
84,coda,vowel_5_mid
85,coda,vowel_6_low
86,coda,vowel_7_rounded
87,coda,vowel_8_retroflex_coloring
88,tone,1_high_level
89,tone,2_rising
90,tone,3_dipping
91,tone,4_falling
