character,onset:manner_1_stop_closure,onset:manner_2_affricate_closure,onset:manner_3_frication,onset:manner_4_nasal,onset:manner_5_liquid_approximant,onset:manner_6_glide,onset:manner_7_vowel,onset:manner_8_syllabic,onset:place_1_labial,onset:place_2_dental_alveolar,onset:place_3_retroflex,onset:place_4_palatal,onset:place_5_velar,onset:place_6_glottal_laryngeal,onset:vowel_1_front,onset:vowel_2_central,onset:vowel_3_back,onset:vowel_4_high,onset:vowel_5_mid,onset:vowel_6_low,onset:vowel_7_rounded,onset:vowel_8_retroflex_coloring,glide:manner_1_stop_closure,glide:manner_2_affricate_closure,glide:manner_3_frication,glide:manner_4_nasal,glide:manner_5_liquid_approximant,glide:manner_6_glide,glide:manner_7_vowel,glide:manner_8_syllabic,glide:place_1_labial,glide:place_2_dental_alveolar,glide:place_3_retroflex,glide:place_4_palatal,glide:place_5_velar,glide:place_6_glottal_laryngeal,glide:vowel_1_front,glide:vowel_2_central,glide:vowel_3_back,glide:vowel_4_high,glide:vowel_5_mid,glide:vowel_6_low,glide:vowel_7_rounded,glide:vowel_8_retroflex_coloring,nucleus:manner_1_stop_closure,nucleus:manner_2_affricate_closure,nucleus:manner_3_frication,nucleus:manner_4_nasal,nucleus:manner_5_liquid_approximant,nucleus:manner_6_glide,nucleus:manner_7_vowel,nucleus:manner_8_syllabic,nucleus:place_1_labial,nucleus:place_2_dental_alveolar,nucleus:place_3_retroflex,nucleus:place_4_palatal,nucleus:place_5_velar,nucleus:place_6_glottal_laryngeal,nucleus:vowel_1_front,nucleus:vowel_2_central,nucleus:vowel_3_back,nucleus:vowel_4_high,nucleus:vowel_5_mid,nucleus:vowel_6_low,nucleus:vowel_7_rounded,nucleus:vowel_8_retroflex_coloring,coda:manner_1_stop_closure,coda:manner_2_affricate_closure,coda:manner_3_frication,coda:manner_4_nasal,coda:manner_5_liquid_approximant,coda:manner_6_glide,coda:manner_7_vowel,coda:manner_8_syllabic,coda:place_1_labial,coda:place_2_dental_alveolar,coda:place_3_retroflex,coda:place_4_palatal,coda:place_5_velar,coda:place_6_glottal_laryngeal,coda:vowel_1_front,coda:vowel_2_central,coda:vowel_3_back,coda:vowel_4_high,coda:vowel_5_mid,coda:vowel_6_low,coda:vowel_7_rounded,coda:vowel_8_retroflex_coloring,tone_1_high_level,tone_2_rising,tone_3_dipping,tone_4_falling
我,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
你,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
吃,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
喝,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
好,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
不,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
冷,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
热,0,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
左,1,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
右,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
