character,我,你,吃,喝,好,不,冷,热,左,右
我,0,0.20429794604399243,0.59684799981323966,0.60922043755532729,0.39390446110197574,0.37872595173546886,0.58274548041439012,0.64640062742495075,0.51941232546664573,0.6254248517042682
你,0.20429794604399243,0,0.61815113109957109,0.65039420969777473,0.43780790514921275,0.33541167303409969,0.58504561209210815,0.64048463116697474,0.52240634256818297,0.55992981467643688
吃,0.59684799981323966,0.61815113109957109,0,0.23190939659008469,0.57080278788562078,0.54250501556695652,0.61032513562006974,0.58332326172912452,0.64207230804063209,0.71233745747658239
喝,0.60922043755532729,0.65039420969777473,0.23190939659008469,0,0.56845187039891021,0.59792274839643955,0.54900737109135567,0.58948213730744148,0.67610232129732772,0.74867050876538166
好,0.39390446110197574,0.43780790514921275,0.57080278788562078,0.56845187039891021,0,0.42206036626027588,0.52542274425845048,0.53573871801085771,0.5826083185900286,0.65814923469574504
不,0.37872595173546886,0.33541167303409969,0.54250501556695652,0.59792274839643955,0.42206036626027588,0,0.57843256771934981,0.5524474410205551,0.5527503804724414,0.59752059188299189
冷,0.58274548041439012,0.58504561209210815,0.61032513562006974,0.54900737109135567,0.52542274425845048,0.57843256771934981,0,0.19781429168120301,0.56119151870887918,0.71392023797053727
热,0.64640062742495075,0.64048463116697474,0.58332326172912452,0.58948213730744148,0.53573871801085771,0.5524474410205551,0.19781429168120301,0,0.64753849045146594,0.72264626892316586
左,0.51941232546664573,0.52240634256818297,0.64207230804063209,0.67610232129732772,0.5826083185900286,0.5527503804724414,0.56119151870887918,0.64753849045146594,0,0.22866123356015233
右,0.6254248517042682,0.55992981467643688,0.71233745747658239,0.74867050876538166,0.65814923469574504,0.59752059188299189,0.71392023797053727,0.72264626892316586,0.22866123356015233,0
