character,我,你,吃,喝,好,不,冷,热,左,右
我,0,0.10116799307652602,0.07086443988231117,0.062663336161304817,0.055399901238228022,0.0927475001704966,0.063463023000994823,0.052318639101182063,0.066851697567952062,0.057818757279230359
你,0.10116799307652602,0,0.092169230558901805,0.10063577995356965,0.083935052606097904,0.11895589313236044,0.086595351713105839,0.068418138845586673,0.14724213933715247,0.10127217682221301
吃,0.07086443988231117,0.092169230558901805,0,0.087880979200643972,0.077558185408224234,0.09927245545045793,0.089427530369960873,0.078568480668255725,0.066700267889288289,0.055760072215006784
喝,0.062663336161304817,0.10063577995356965,0.087880979200643972,0,0.088779365601897586,0.13434186507589785,0.11015830185878106,0.060271740594782131,0.10824426185887703,0.095792149841814056
好,0.055399901238228022,0.083935052606097904,0.077558185408224234,0.088779365601897586,0,0.094155432149298779,0.062552413315350108,0.066264409867787699,0.091785878253385578,0.068287586162922742
不,0.0927475001704966,0.11895589313236044,0.09927245545045793,0.13434186507589785,0.094155432149298779,0,0.089232507515234039,0.11032974332669709,0.095371407705157396,0.078061278274774049
冷,0.063463023000994823,0.086595351713105839,0.089427530369960873,0.11015830185878106,0.062552413315350108,0.089232507515234039,0,0.080478040294214126,0.088576567339026746,0.067695793075764454
热,0.052318639101182063,0.068418138845586673,0.078568480668255725,0.060271740594782131,0.066264409867787699,0.11032974332669709,0.080478040294214126,0,0.093439160859941972,0.074799430624464369
左,0.066851697567952062,0.14724213933715247,0.066700267889288289,0.10824426185887703,0.091785878253385578,0.095371407705157396,0.088576567339026746,0.093439160859941972,0,0.028850580035329143
右,0.057818757279230359,0.10127217682221301,0.055760072215006784,0.095792149841814056,0.068287586162922742,0.078061278274774049,0.067695793075764454,0.074799430624464369,0.028850580035329143,0
